# Data : M:\images\zeisspalm\Manchen Zhao\15_05_27
# Processed by : 
# Bandpass Filter : [0.80, 1.50]
# Minum peak Intensity : 45.00
# PSF Width : 1.10
# Window Diameter : 9.0
# Histogram Bins : 100
#############################
Brightness	15_05_13 DDS only Sample EPI power 5.5 Image 1	15_05_13 DDS only Sample TIRF power 5.5 Image 2	15_05_13 DDS only Sample part bleached Image 3	Control (10) EPI power 7.1 Image 1	Control (10) EPI power 7.1 Image 2	Control (10) TIRF power 1.0 area1 Image 5	Control (10) TIRF power 1.0 area2 Image 7	Control (10) TIRF power 1.0 area3 Image 9	Control (10) TIRF power 7.1 Image 3	Control (10) TIRF power 7.1 Image 4	Control (10) TIRF power 7.1 area1 Image 6	Control (10) TIRF power 7.1 area2 Image 8	Control (10) TIRF power 7.1 area3 Image 10	Control (11) TIRF power 7.1 Image 1	Control (11) TIRF power 7.1 Image 2	Sample -12 Image 1	Sample -12 part bleached Image 6	Sample -12 power 1.0 area1 Image 2	Sample -12 power 1.0 area2 Image 4	Sample -12 power 10 Image 7	Sample -12 power 10 Image 8	Sample -12 power 7.1 area1 Image 3	Sample -12 power 7.1 area2 Image 5	Sample -12(2) power 1.0 area1 Image 3	Sample -12(2) power 10 Image 1	Sample -12(2) power 10 Image 2	Sample -12(2) power 7.1 area1 Image 4	Sample -13 power 10 Image 1	Sample -13 power 10 Image 2	Sample -13 power 7.1 Image 3	Sample -13 power 7.1 Image 4	Sample -13(2) power 1.0 area1 Image 4	Sample -13(2) power 10 Image 2	Sample -13(2) power 10 Image 3	Sample -13(2) power 7.1 Image 1	Sample -13(2) power 7.1 area1 Image 5	Sample -14 power 1.0 area1 Image 1	Sample -14 power 10 Image 3	Sample -14 power 10 Image 4	Sample -14 power 20 Image 7	Sample -14 power 20 Image 8	Sample -14 power 40 Image 5	Sample -14 power 40 Image 6	Sample -14 power 7.1 area1 Image 2	Sample -14(2) power 1.0 area1 Image 3	Sample -14(2) power 10 Image 1	Sample -14(2) power 10 Image 2	Sample -14(2) power 7.1 area1 Image 4	Sample -15 power 10 Image 1	Sample -15 power 10 Image 2	Sample -15 power 20 Image 5	Sample -15 power 7.1 Image 3	Sample -15 power 7.1 Image 4
227.313	0.000	0.000	0.000	44.000	72.000	4.000	1.000	4.000	39.000	42.000	40.000	38.000	41.000	60.000	60.000	98.000	72.000	66.000	38.000	57.000	55.000	93.000	84.000	127.000	76.000	55.000	95.000	58.000	44.000	72.000	67.000	51.000	62.000	33.000	84.000	100.000	2.000	90.000	93.000	90.000	86.000	72.000	68.000	67.000	18.000	66.000	62.000	62.000	60.000	51.000	60.000	70.000
69.000	471.169	0.000	0.000	0.000	79.000	82.000	0.000	0.000	0.000	99.000	128.000	100.000	93.000	150.000	302.000	325.000	532.000	608.000	24.000	33.000	754.000	663.000	509.000	627.000	92.000	731.000	719.000	562.000	742.000	629.000	750.000	786.000	27.000	702.000	651.000	858.000	720.000	0.000	162.000	176.000	394.000	453.000	578.000	605.000	50.000	5.000	360.000	334.000	305.000	217.000	210.000	515.000	287.000
245.000	715.024	0.000	0.000	1.000	9.000	22.000	0.000	0.000	0.000	37.000	53.000	28.000	18.000	66.000	197.000	214.000	333.000	492.000	1.000	3.000	798.000	666.000	320.000	411.000	10.000	688.000	1050.000	300.000	851.000	1041.000	935.000	910.000	2.000	897.000	921.000	887.000	583.000	0.000	23.000	24.000	198.000	196.000	302.000	419.000	3.000	0.000	244.000	174.000	119.000	92.000	101.000	243.000	115.000
99.000	958.879	0.000	0.000	12.000	0.000	4.000	0.000	0.000	0.000	14.000	17.000	9.000	16.000	26.000	108.000	110.000	189.000	232.000	0.000	1.000	544.000	379.000	116.000	208.000	1.000	388.000	713.000	128.000	662.000	838.000	596.000	536.000	0.000	570.000	825.000	521.000	280.000	0.000	1.000	1.000	58.000	86.000	152.000	206.000	0.000	0.000	84.000	46.000	47.000	54.000	34.000	121.000	37.000
46.000	1202.734	0.000	0.000	54.000	0.000	0.000	0.000	0.000	0.000	1.000	5.000	4.000	2.000	13.000	44.000	58.000	88.000	108.000	0.000	0.000	297.000	225.000	54.000	87.000	0.000	202.000	394.000	48.000	399.000	573.000	372.000	266.000	0.000	369.000	508.000	276.000	152.000	0.000	0.000	0.000	18.000	23.000	69.000	105.000	0.000	0.000	52.000	32.000	17.000	22.000	23.000	60.000	18.000
21.000	1446.590	0.000	0.000	142.000	0.000	0.000	0.000	0.000	0.000	4.000	6.000	0.000	0.000	5.000	22.000	44.000	29.000	49.000	0.000	0.000	214.000	119.000	23.000	30.000	0.000	109.000	236.000	21.000	231.000	346.000	197.000	128.000	0.000	198.000	377.000	126.000	67.000	0.000	0.000	0.000	6.000	9.000	42.000	67.000	0.000	0.000	19.000	15.000	10.000	12.000	12.000	46.000	11.000
9.000	1690.445	0.000	0.000	260.000	0.000	0.000	0.000	0.000	0.000	2.000	3.000	0.000	0.000	5.000	13.000	23.000	9.000	28.000	0.000	0.000	129.000	73.000	14.000	28.000	0.000	49.000	126.000	12.000	160.000	196.000	102.000	64.000	0.000	118.000	212.000	56.000	27.000	0.000	0.000	0.000	1.000	2.000	14.000	33.000	0.000	0.000	13.000	5.000	2.000	7.000	5.000	31.000	1.000
7.000	1934.300	3.000	0.000	453.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	1.000	7.000	14.000	4.000	13.000	0.000	0.000	69.000	44.000	5.000	5.000	0.000	31.000	68.000	1.000	99.000	131.000	57.000	33.000	0.000	58.000	168.000	27.000	8.000	0.000	0.000	0.000	0.000	1.000	8.000	24.000	0.000	0.000	6.000	2.000	0.000	2.000	4.000	20.000	0.000
0.000	2178.156	13.000	0.000	662.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	5.000	8.000	2.000	0.000	0.000	46.000	29.000	2.000	2.000	0.000	16.000	47.000	1.000	56.000	89.000	23.000	12.000	0.000	38.000	85.000	4.000	2.000	0.000	0.000	0.000	0.000	0.000	6.000	13.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	21.000	0.000
0.000	2422.011	21.000	1.000	849.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	17.000	8.000	5.000	2.000	0.000	15.000	30.000	0.000	29.000	43.000	10.000	4.000	0.000	22.000	53.000	1.000	3.000	0.000	0.000	0.000	0.000	0.000	4.000	6.000	0.000	0.000	0.000	2.000	0.000	0.000	1.000	7.000	0.000
0.000	2665.866	24.000	1.000	1093.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	3.000	0.000	0.000	0.000	15.000	5.000	0.000	0.000	0.000	5.000	22.000	0.000	15.000	21.000	4.000	4.000	0.000	13.000	42.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	2.000	1.000	0.000	1.000	0.000	3.000	0.000
0.000	2909.722	74.000	1.000	1141.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	6.000	5.000	0.000	1.000	0.000	3.000	12.000	0.000	10.000	20.000	1.000	4.000	0.000	7.000	21.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	5.000	0.000
0.000	3153.577	105.000	1.000	1179.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.000	1.000	0.000	0.000	0.000	2.000	3.000	0.000	2.000	10.000	3.000	1.000	0.000	7.000	11.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000
0.000	3397.432	171.000	2.000	1161.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	4.000	2.000	0.000	0.000	0.000	0.000	5.000	0.000	2.000	5.000	0.000	0.000	0.000	1.000	9.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	3641.288	193.000	13.000	1109.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	1.000	2.000	1.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	3885.143	286.000	16.000	981.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	2.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	4128.998	344.000	26.000	851.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	4372.853	428.000	31.000	726.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	4616.709	473.000	54.000	642.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	4860.564	583.000	59.000	550.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	5104.419	638.000	54.000	454.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	5348.275	689.000	77.000	341.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	5592.130	698.000	97.000	293.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
